,id,districtr_id
637,c2069-1,32816-1
638,c2071-1,32817-1
639,c2074-1,32819-1
640,c2075-1,32822-1
641,c2076-1,32823-1
642,c2078-1,32825-1
643,c2081-1,32832-1
644,c2080-1,32833-1
645,c2082-1,32835-1
646,c2086-1,32843-1
647,c2091-1,32850-1
648,c2088-1,32853-1
649,c2092-2,32855-2
650,c2094-1,32861-1
651,c2096-1,32863-1
652,c2097-1,32869-1
653,c2101-1,32873-1
654,c2114-1,32898-1
655,c2122-1,32931-1
656,c2123-1,32931-1
657,c2124-1,32935-1
658,c2125-1,32938-1
659,c2126-1,32939-1
660,c2128-1,32941-1
661,c2131-1,32946-1
662,c2132-1,32948-1
663,c2166-1,33055-1
664,c2175-1,33069-1
665,c2176-1,33079-1
666,c2178-1,33082-1
667,c2179-1,33084-1
668,c2181-1,33088-1
669,c2182-1,33095-1
670,c2183-1,33096-1
671,c2184-1,33105-1
672,c2187-1,33109-1
673,c2194-1,33114-1
674,c2198-1,33125-1
675,c2202-1,33137-1
676,c2200-1,33138-1
677,c2205-1,33142-1
678,c2207-1,33145-1
679,c2219-1,33148-1
680,c2216-1,33150-1
681,c2224-1,33162-1
682,c2227-1,33164-1
683,c2232-1,33172-1
684,c2288-1,33321-1
685,c2290-1,33324-1
686,c2291-1,33326-1
687,c2292-1,33329-1
688,c2348-1,33401-1
689,c2366-1,33422-1
690,c2367-1,33425-1
691,c2406-1,33580-1
692,c2409-1,33639-1
693,c2409-2,33639-2
694,c2410-1,33652-1
695,c2411-1,33655-1
696,c2411-2,33655-2
697,c2411-5,33655-5
698,c2411-3,33655-3
699,c2411-4,33655-4
700,c2420-1,33694-1
701,c2421-1,33695-1
702,c2422-1,33697-1
703,c2423-1,33700-1
704,c2424-1,33702-1
705,c2425-1,33707-1
706,c2426-1,33711-1
707,c2427-1,33735-1
708,c2429-1,33742-1
709,c2429-2,33742-2
710,c2428-1,33748-1
711,c2433-1,33883-1
712,c2455-1,33908-1
713,c2469-1,33921-1
714,c2503-1,33950-1
715,c2504-1,33951-1
716,c2505-1,33953-1
717,c2506-1,33957-1
718,c2506-3,33957-3
719,c2507-1,33959-1
720,c2508-1,34015-1
721,c2509-1,34038-1
722,c2510-1,34047-1
723,c2511-1,34052-1
724,c2519-1,34063-1
725,c2513-1,34063-1
726,c2515-1,34063-1
727,c2514-1,34063-1
728,c2518-1,34073-1
729,c2520-1,34077-1
730,c2522-1,34082-1
731,c2525-1,34089-1
732,c2527-1,34092-1
733,c2529-1,34098-1
734,c2532-1,34101-1
735,c2530-1,34104-1
736,c2531-1,34105-1
737,c2543-1,34235-1
738,c2544-1,34264-1
739,c2545-1,34265-1
740,c2549-1,34338-1
741,c2548-1,34339-1
742,c2551-1,34342-1
743,c2552-1,34355-1
744,c2550-1,34356-1
745,c2553-1,34357-1
746,c2554-1,34358-1
747,c2555-1,34360-1
748,c2557-1,34361-1
749,c2556-1,34362-1
750,c2558-1,34363-1
751,c2559-1,34364-1
752,c2560-1,34365-1
753,c2562-1,34368-1
754,c2563-1,34371-1
755,c2564-1,34374-1
756,c2566-1,34376-1
757,c2567-1,34381-1
758,c2568-1,34384-1
759,c2569-1,34386-1
760,c2570-1,34388-1
761,c2571-1,34391-1
762,c2572-1,34393-1
763,c2573-1,34394-1
764,c2574-1,34397-1
765,c2575-1,34401-1
766,c2576-1,34403-1
767,c2577-1,34404-1
768,c2578-1,34406-1
769,c2580-1,34431-1
770,c2581-1,34436-1
771,c2582-1,34441-1
772,c2583-1,34443-1
773,c2584-1,34444-1
774,c2585-1,34445-1
775,c2586-1,34447-1
776,c2587-1,34449-1
777,c2588-1,34450-1
778,c2589-1,34473-1
779,c2590-1,34475-1
780,c2591-1,34477-1
781,c2592-1,34483-1
782,c2594-1,34485-1
783,c2595-1,34489-1
784,c2596-1,34491-1
785,c2597-1,34492-1
786,c2598-1,34493-1
787,c2600-1,34494-1
788,c2599-1,34496-1
789,c2601-1,34497-1
790,c2602-1,34498-1
791,c2603-1,34499-1
792,c2604-1,34501-1
793,c2605-1,34502-1
794,c2606-1,34504-1
795,c2608-1,34509-1
796,c2609-1,34510-1
797,c2610-1,34514-1
798,c2612-1,34527-1
799,c2612-2,34527-2
800,c2612-3,34527-3
801,c2613-1,34530-1
802,c2617-1,34678-1
803,c2618-1,34680-1
804,c2619-1,34685-1
805,c2620-1,34687-1
806,c2629-1,34943-1
807,c2631-1,34962-1
